web-scraper-order,web-scraper-start-url,TIENDA,TIENDA-href,PRODUCTOS,PRODUCTOS-href,DESCRIPCION,IMAGEN-src,TEXTOPROD,PRECIO
"1604870665-2176","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Huevos campesinos- 12 unidades. Gallinas libre pastoreo. San Fco, Cund","https://biotico.co/tienda/huevos-de-gallinas-libres-y-felices/huevos-de-gallinas-libres-y-felices-x-12/","Huevos campesinos- 12 unidades. Gallinas libre pastoreo. San Fco, Cund","","",""
"1604870620-2143","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/",".Café Devoción Honey – MOLIDO (340 g)","https://biotico.co/tienda/cafes-de-especialidad-y-organicos/honey340molido/",".Café Devoción Honey – MOLIDO (340 g)","","",""
"1604870411-1980","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Fruta: Lulo. Ecológico de confianza. 500 g.  San Franisco, Cundinamarca. Agricultura familiar.","https://biotico.co/tienda/frutasbiotico/lulo-ecologico-de-confianza-500-g-san-francisco-cundinamarca-a/","","","","$3,050"
"1604870683-2192","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Pan 11 granos (vegano). Sin levadura, con harina de trigo orgánica. El pan pesa 500 g.","https://biotico.co/tienda/panaderia/sin-levadura/","","https://i2.wp.com/biotico.co/wp-content/uploads/2018/10/pan-2-1.jpg?ssl=1","",""
"1604870757-2252","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Repollo morado orgánico certificado por Ecocert. Verde Fresco Orgánico. Madrid, Cund.","https://biotico.co/tienda/verduras-organicas-2/repollo-morado-organico/","","","","$3,050"
"1604870429-1994","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Fruta. Banano criollo ecológico x 500 g. Agricultura familiar. Monterrey, Casanare.","https://biotico.co/tienda/frutasbiotico/3880/","","","","$2,500"
"1604870748-2244","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Tomate cherry mix. Fómeque, Cund (500 g)","https://biotico.co/tienda/tomates-de-agricultura-limpia/cherrymix/","","","$",""
"1604870740-2233","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Tomates deshidratados (125 g)","https://biotico.co/tienda/gourmet/tomates-deshidratados-125-g/","Tomates deshidratados (125 g)","","",""
"1604870575-2106","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Nibs de 100 % cacao orgánico (150 g) – Chocamazonic","https://biotico.co/tienda/cacaodeeldoncello/nibs-de-cacao/","","","$10,000",""
"1604870785-2272","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Pepino Cohombro Monterrey, Casanare. BPA  Unidad (350 – 400 g Aprox)","https://biotico.co/tienda/verduras-organicas-2/pepino-cohombro-monterrey-casanare-bpa-500-g/","Pepino Cohombro Monterrey, Casanare. BPA  Unidad (350 – 400 g Aprox)","","",""
"1604870770-2260","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Rábano orgánico certificada por Ecocert. Verde Fresco Orgánico. Madrid, Cund.  x 500g.","https://biotico.co/tienda/verduras-organicas-2/rabano/","","https://i1.wp.com/biotico.co/wp-content/uploads/2020/08/20200821_112659-rotated.jpg?ssl=1","",""
